Make,Model,Vendor Code,Vendor Name,MPN,AD Item Number,Vendor Notes,REF#,OEM#,Year
ARCTIC CAT,300 2X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04521,128262,"REF# : 50-1152,50-1152; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-16
ARCTIC CAT,300 DVX ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04521,128262,"REF# : 50-1152,50-1152; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-15
ARCTIC CAT,ALTERRA 300,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04521,128262,"REF# : 50-1152,50-1152; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017-23
UTV,PROWLER 500 HDX ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04502,129340,"REF# : 50-1128,50-1128; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-15
UTV,PROWLER 500 HDX XT ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04502,129340,"REF# : 50-1128,50-1128; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017
UTV,PROWLER 550 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04502,129340,"REF# : 50-1128,50-1128; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015
UTV,PROWLER 700 CREW HDX XT ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04502,129340,"REF# : 50-1128,50-1128; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2017
ARCTIC CAT,PROWLER 700 HDX XT ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04502,129340,"REF# : 50-1128,50-1128; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015-17
ARCTIC CAT,PROWLER 700 XT,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04502,129340,"REF# : 50-1128,50-1128; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015-17
ARCTIC CAT,PROWLER 1000 XT ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04502,129340,"REF# : 50-1128,50-1128; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015-17
ARCTIC CAT,PROWLER 1000 XTZ ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04502,129340,"REF# : 50-1128,50-1128; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2011-14
ARCTIC CAT,PROWLER 1000 XTZ H2,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04502,129340,"REF# : 50-1128,50-1128; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2009-11
ARCTIC CAT,WILDCAT 1000,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04512,127398,"REF# : 50-1139,50-1139; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-15
ARCTIC CAT,WILDCAT 4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04512,127398,"REF# : 50-1139,50-1139; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014
ARCTIC CAT,WILDCAT 4 LTD ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04512,127398,"REF# : 50-1139,50-1139; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014
ARCTIC CAT,WILDCAT 4X ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04512,127398,"REF# : 50-1139,50-1139; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-15
ARCTIC CAT,WILDCAT LTD ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04512,127398,"REF# : 50-1139,50-1139; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014
ARCTIC CAT,WILDCAT X / LTD,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04512,127398,"REF# : 50-1139,50-1139; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-16
ARCTIC CAT,WILDCAT X EPS,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04512,127398,"REF# : 50-1139,50-1139; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2014-16
CAN-AM,DS 450 STD/X ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2008-09
CAN-AM,DS 450 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2010-15
CAN-AM,OUTLANDER 450 DPS EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-18
CAN-AM,OUTLANDER L 450 EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015-16
CAN-AM,OUTLANDER L MAX 450 EFI ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015-16
CAN-AM,OUTLANDER MAX 450 DPS EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2016-21
CAN-AM,OUTLANDER 500 STD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-15
CAN-AM,OUTLANDER 500 XT 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-14
CAN-AM,OUTLANDER L 500 EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015
CAN-AM,OUTLANDER L MAX 500 EFI ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015
CAN-AM,OUTLANDER MAX 500 EFI,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2015
CAN-AM,OUTLANDER MAX 500 STD 4X4 ,NACH,NACHMAN INTERNATIONAL CO. LTD,AT-04348-2,127391,"REF# : 50-1126, 50-114350-1126, 50-1143; FRONT A-ARM REPAIR KITS: UPPER & LOWER",,,2013-14
